@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport Does the Apple store do a old cable exchange for a new one ?,,,,,,,,,,,,,,,,,,
"@AppleSupport why my notes doesn't work as before? it shut down suddenly when i open some notes , there are really important things in my notes , u have to do something",,,,,,,,,,,,,,,,,,
@AppleSupport @115858 my question- is it fair to pay rs 35000 just because of expiry of warranty by just 2 months..is it not exploitation ? Is brand apple dead now?..is there no guarantee of working..?? Why we pay so much if it does not work properly for 2 months post warranty 2/n,,,,,,,,,,,,,,,,,,
"@AppleSupport My AirPods don't consistently play/pause when I'm listening to podcasts, but seem to work fine for music. Should I return them for a new pair since I've had them for less than 30 days?",,,,,,,,,,,,,,,,,,
@AppleSupport My point was your bug led me to go out and buy a new phone unnecessarily. And by the way. The bug affected the new phone too after restoring a backup!!! How about a refund?,,,,,,,,,,,,,,,,,,
@AppleSupport We figured it out. Guess it worked only with the locked screen? Also has to be pressed to see the movement?,,,,,,,,,,,,,,,,,,
"@AppleSupport I really need the App Store to work again. I have a MacBook Air which isn't under warranty, and other than the App Store issue (which started last week), all is good. Dear @AppleSupport is there anything I can do? Please say there is!",,,,,,,,,,,,,,,,,,
"@AppleSupport Also, could this be an iCloud problem in addition to the older software? Because I cannot logout/login the iCloud section in System Preferences. And every time I try to sign out of my account through App Store, the thing freezes and shuts and a system error report is generated.",,,,,,,,,,,,,,,,,,
"Other than App Store, where can I download Mac OS 10.12 (Sierra) from?My App Store isn't connecting, and I am currently running Yosemite. I need a trusted link for the combo pack.@AppleSupport",,,,,,,,,,,,,,,,,,
How do you screen shot on the iPhone X? @AppleSupport,,,,,,,,,,,,,,,,,,
"Dear @AppleSupport, I'm in China andy GPS is very inaccurate. Am I doing something wrong?",,,,,,,,,,,,,,,,,,
@AppleSupport Thank you. Do I turn be notifications back on after?,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone has logged me out of everything and apparently all my passwords are wrong? Even my at home wifi is apparently wrong? Done all the restart reset crap,,,,,,,,,,,,,,,,,,
@257978 @AppleSupport Same here! Found a solution yet?,,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport Guys, There is a bug in IOS version 11.1.2.When you turn off your Wifi from the control center, it does not turn off it from settings Wi-Fi.But the other way works fine.Is it reported?",,,,,,,,,,,,,,,,,,
Is there any way to check the overall battery health of my iphone 6s+? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Hi Apple! I want to know about my iPhone's battery condition (iPhone 6s 64gb). Suddenly drops occur often. Can you help me?,,,,,,,,,,,,,,,,,,
@AppleSupport why does my phone keep crashing and restarting? i tried restarting my phone and re downloading twitter i need help.,,,,,,,,,,,,,,,,,,
.@AppleSupport Nice of you to tell me iOS 11.2 includes Apple Pay Cash but then not include Apple Pay Cash. What gives?,,,,,,,,,,,,,,,,,,
@AppleSupport Can I use my wired  printer  having USB on my MacBook pro which has  has c type?..Pls suggest if USB hub and c-type to USB female will work for it?,,,,,,,,,,,,,,,,,,
"@AppleSupport hey guys, is anyone aware of the bug on iOS 11.x when lockscreen displays nothing but background? Has been there since 11.0, still there with 11.2. I'm on iPhone 7+",,,,,,,,,,,,,,,,,,
@AppleSupport When I make a screen recording on my iPhone there is no sound in the recording. Is this meant to be? Or is there a setting to turn it on?,,,,,,,,,,,,,,,,,,
Iphone just froze during app cleaning (whatever that is). Can't even reboot it. Anyone with the same problem ? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport when can we expect Apple Pay cash in the UK?,,,,,,,,,,,,,,,,,,
@AppleSupport @258323 Any way to stop you advertising?,,,,,,,,,,,,,,,,,,
@AppleSupport Nope. I've done the issue. All about MacBook is well now. But i have more questions: my iPad 2 is on ios 6 and I can't connect to my Apple ID. Is that related to the ios? Pls advise:),,,,,,,,,,,,,,,,,,
"@AppleSupport, my iPhone 6s started to drain the battery in a very unusual way. Every 20 second on screen is 1 or 2 percent of my battery! It seems to be fine on standby. Is there anything I can do to figure out the reason?",,,,,,,,,,,,,,,,,,
"Mac book pro 2016 issues ... Please RECALL-Keyboard, unpleasant and shrill type sound (while high-load and heated)-Keyboard, non-responsive keys(Often occurred)-Sudden freeze (problem with graphic system?)-Physical tap sound from inside (Trackpad error?)@AppleSupport @115858",,,,,,,,,,,,,,,,,,
@AppleSupport iPhone 7 front camera not working? Black and freezes phone?,,,,,,,,,,,,,,,,,,
@AppleSupport where is this apple pay cash in the uk  downloaded 11.2 and again nothing there why ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hello, how do I shut down my Apple TV 4K without shutting down any connected devices ? This is pretty boring having to turn on the TV again every single time... And the light is always on. Not very ecological.",,,,,,,,,,,,,,,,,,
My iPhone died at 16 percent today. Only happened once since you dropped the iPhone X... who made you like this....???  @AppleSupport,,,,,,,,,,,,,,,,,,
Where is Apple Pay Cash in the new iOS 11.2 from @115858 @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport did you remove the option to edit the screenshot iOS 11.2? Screenshot was appearing on the corner below before saving on 11.1.2 ?!!,,,,,,,,,,,,,,,,,,
"@AppleSupport how come features that my Watch had in earlier software releases are now gone? Eg browse iPhone's music library from Watch, add to Up Next queue using Siri on Watch. These were features I used all the time, doesn't seem right that functionality gets removed.",,,,,,,,,,,,,,,,,,
"Hi @AppleSupport! Why is Apple Music randomly stops playing ""not downloaded"" tracks and skipping to the next song? How can i fix it?",,,,,,,,,,,,,,,,,,
"@AppleSupport Not that I know of, what are the vision accessibility options?",,,,,,,,,,,,,,,,,,
"I've turned off the system haptics on my iPhone but for certain things I can still feel the tap and it's stressing me tf out, how do I turn all of them off? #iphone7 #systemhaptic @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport how i know my phone already backup?,,,,,,,,,,,,,,,,,,
"@AppleSupport I transferred them from my old laptop. They had previously worked just fine as RAWs. I could edit them, and so on. Why are they now all JPGs? This is very worrisome!",,,,,,,,,,,,,,,,,,
@AppleSupport WTF? It says the update is 1.4GB. How much space do I need to have?,,,,,,,,,,,,,,,,,,
@AppleSupport but I have 1.95GB available. ??,,,,,,,,,,,,,,,,,,
hola @AppleSupport where can I send a idea for IOS ? tnx,,,,,,,,,,,,,,,,,,
@AppleSupport is there a way in iOS to show connected peripherals? Trying to troubleshoot issue with @27264 external device in 11.2 on iPad Pro.,,,,,,,,,,,,,,,,,,
"@AppleSupport where can i find iOS10 for my iPhone 6?  iPhone is completely useless with iOS 11. Consistently hangs, freezes, and crashes and is making my blood boil.",,,,,,,,,,,,,,,,,,
@AppleSupport why does everything have to be so complicated with Apple photos? Trying to make a Photobook and all my files are .heic and .mov. I just want a jpg...,,,,,,,,,,,,,,,,,,
@AppleSupport when are you gonna fix the I.T issue?,,,,,,,,,,,,,,,,,,
"@AppleSupport ""Unable to activate faceID on this iPhone"" after updating to iOS 11.2 to fix the December 2nd Crashing bug. Do y'all have a quality control department anymore?",,,,,,,,,,,,,,,,,,
@AppleSupport I think my hard drive is full.  What should I do?,,,,,,,,,,,,,,,,,,
"@AppleSupport hi I want to change simcard on my iPhone SE (ios 11) but it said that the simcard not valid, then I tried to put back the simcard that I usually use but the simcard not valid showed again. what to do? I cant use my phone rite now :(",,,,,,,,,,,,,,,,,,
most of my photos disappeared from the camera roll !!!! i have iphone 6s. help?! @AppleSupport,,,,,,,,,,,,,,,,,,
"I deleted my icloud notes by mistake by signing out, procrastinating a back-up, any idea how I could retrieve my iCloud notes? @AppleSupport",,,,,,,,,,,,,,,,,,
Can I use the normal pendrive with #ipadpro ? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport wtf? I created a repair order (A273997423) to get my iPhone battery replaced, but Apple received the product, deemed it ""couldn't duplicate issue"", and shipped it back to me. You should have replaced battery, or contacted me to find out what the issue was.",,,,,,,,,,,,,,,,,,
Imagine how convenient could be for the average iphone user to know exactly how much is the free disk space of the device!Will you @AppleSupport @115858   please do something about it?,,,,,,,,,,,,,,,,,,
@AppleSupport hey guys!! Any clue if you guys are going to release a fix for the reboot issue going in iOS 11.2?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hello, I'm trying to reach customer service but it is automatically asking for my IMEI (?) number before I can talk to anyone. I have no way to obtain it now. What can I do to reach someone?",,,,,,,,,,,,,,,,,,
@AppleSupport Hi. I've disabled iCloud because I never wanted it in the first place. Now I have 30 days to download all my photos but I can't seem to do it. Went on your support website but the indications aren't working for me. Help??,,,,,,,,,,,,,,,,,,
"I want to subscribe to @115948 now, if one day I'm tired of apple music can I stop subscribing to apple music ? @AppleSupport",,,,,,,,,,,,,,,,,,
Argh! How do I get native Twitter (on macOS High Sierra) to remember my accounts and passwords? @AppleSupport,,,,,,,,,,,,,,,,,,
"Hey, @AppleSupportIs there any way to remove background images from ""User Backdrops"" in 'Photo Booth' on Macbook ?",,,,,,,,,,,,,,,,,,
Anyone know how the new v11.2 #ApplePay feature work in terms of paying someone personally?  @AppleSupport @115858,,,,,,,,,,,,,,,,,,
@AppleSupport can you help me check my battery health on my iPhone 6S plus?,,,,,,,,,,,,,,,,,,
@AppleSupport Some time ago I had an appleid (which was an email address) deleted. Now I need to add that address as an alternate email to my current appleid account. Is that possible?,,,,,,,,,,,,,,,,,,
"@AppleSupport And what if my wife is of another nationality than me and uses another country setting in itunes? Is family sharing for ""international"" families not available? My wife is going to loose all her purchases if she switches stores, is she? That would not be acceptable.",,,,,,,,,,,,,,,,,,
@AppleSupport how can I activate family-sharing for two itunes-accounts from two different countries?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 please can you tell me when my #iPhone will stop crashing after the new update? Should have bought a @1107 brick!,,,,,,,,,,,,,,,,,,
"@AppleSupport No. I read through the release notes for 11.2 and saw nothing about fixing battery life. Did I miss something? If 11.2 is even worse, I know I can't go back.",,,,,,,,,,,,,,,,,,
@AppleSupport Is this actually addressed?  You are the expert. It is your software. Does 11.2 fix battery problems?,,,,,,,,,,,,,,,,,,
"@AppleSupport are you aware that the last few updates have bricked Airplay/mirroring from.iPad to Apple TV? Now using my iPad 3, and it work better than my brand new iPad. What gives? Halp",,,,,,,,,,,,,,,,,,
@AppleSupport I think my iPhone battery have some issues...can we check it somehow?,,,,,,,,,,,,,,,,,,
@AppleSupport how  Can I  check my battery status?,,,,,,,,,,,,,,,,,,
@AppleSupport Good morning! How should one hook up an HDMI monitor to a 2017 iMac? Cheers!,,,,,,,,,,,,,,,,,,
"@AppleSupport So i bought an iphone 4 from i guy while i was selling something on the streets, the phone has an activation lock, how do i remove it?",,,,,,,,,,,,,,,,,,
@AppleSupport if I bought a GSM iphone X from american apple store to be delivered to saudi arabia. Would it be unlocked or locked?,,,,,,,,,,,,,,,,,,
@AppleSupport when I pause a podcast and go to another app WHY do I have to restart my phone to get podcasts to work again?!?!,,,,,,,,,,,,,,,,,,
"@AppleSupport why does my camera keep resetting to flash on auto, HDR on, and Live on every time I close and then open my camera app?",,,,,,,,,,,,,,,,,,
"Yooo @AppleSupport how come suddenly every time I plug my #iphone7 into my computer, it changes my ringtones? Never did this before.",,,,,,,,,,,,,,,,,,
@AppleSupport my phone keeps restarting itself and it doesn't turn all the way off it just gets rid of whatever I was doing and it only happened every like hour or so but now it's happening every like 3-4 minutes and I can barely even use my phone??,,,,,,,,,,,,,,,,,,
"@AppleSupport My Iphone 6 keeps saying my storage is almost full, I have tried everything and cleared my phone a few times now. I am down to the bear minimum of apps and still have no storage, can you help please?",,,,,,,,,,,,,,,,,,
@AppleSupport is there a software glitch in the latest update for iPhone 5s? Phone switching off randomly and not staying on long enough to back up,,,,,,,,,,,,,,,,,,
"@AppleSupport my iPhone keeps restarting itself every few minutes, any suggestions on how to fix it?",,,,,,,,,,,,,,,,,,
@AppleSupport wow. mail app in high sierra is a laggy piece of crap. nice update guys! any geniuses over there gonna issue a fix?,,,,,,,,,,,,,,,,,,
@AppleSupport How can I recycle two old MacBooks that I have?,,,,,,,,,,,,,,,,,,
@AppleSupport how can I transfer my bank details from my old Apple ID on to my new Apple ID?,,,,,,,,,,,,,,,,,,
@AppleSupport Why my phone keep rebooting after this update?,,,,,,,,,,,,,,,,,,
@AppleSupport I currently have 11.2 as my iOS??,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, I have an iPhone X and Apple Watch 3, when I have the Apple Watch on my wrist, notifications do not appear on my IPhone. How do I set it up so I get notifications on both devices at the same time? I sometimes miss stuff",,,,,,,,,,,,,,,,,,
@116333 @AppleSupport What you are not replying?,,,,,,,,,,,,,,,,,,
@AppleSupport Any news on Dolby Atmos for AppleTV 4K?,,,,,,,,,,,,,,,,,,
"@AppleSupport I can not record the screen with the audio system, and the microphone is active, my voice records are fine. I use Ios 11.1.2, Installation 11.2 could solve?",,,,,,,,,,,,,,,,,,
@AppleSupport when will you fix the bug for the automatic activation of the wifi!? Really fed up with that. Fix it. Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport why do some of my contacts not appear when trying to send an iMessage or text? Worked fine before update but not now,,,,,,,,,,,,,,,,,,
@AppleSupport From yesterday I can't make full configuration after 11.2 restore in iP8. Problem with not accessible server. What to do ??!!! I'm not alone. (only upgrade from 11.1.2 is working ),,,,,,,,,,,,,,,,,,
@AppleSupport how do I reopen the now playing screen on the watch once I close it?,,,,,,,,,,,,,,,,,,
@AppleSupport My computer has been installing the latest update pre login for a long time approximately 2 hours. What is the expected wait time? Or is there an issue with the update?,,,,,,,,,,,,,,,,,,
@AppleSupport When will Apple Pay be available in iMessage? I updated yesterday to iOS 11.2. Thanks!,,,,,,,,,,,,,,,,,,
@AppleSupport Could pass along the comment to whomever so they possibly consider for the future? Thanks!,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 Do you offer a trade-in /upgrade program for Apple Watches?,,,,,,,,,,,,,,,,,,
@AppleSupport My ipod 5th gen can charge but it always gets stuck on the apple logo and the recovery steps have not worked. It's also not being recognised by my laptop or itunes. It'a been like this for a few months. What do I do?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hiya, is your UK online support chat working? I've been in the '10 min' queue for 20 mins now",,,,,,,,,,,,,,,,,,
"Could you all please [try to] put the Sister Act II version of Joyful, Joyful w/Lauryn Hill on iTunes please? :) @115948 @AppleSupport",,,,,,,,,,,,,,,,,,
"@AppleSupport I just got (another) email that's not legitimate, telling me to ""verify"" my Apple ID. I reported them as spam and sent the email to __email__ - is there anything else I can do? I don't feel very safe and I don't want anything to happen to my account",,,,,,,,,,,,,,,,,,
@AppleSupport why do I have to put in my card information for a free app?,,,,,,,,,,,,,,,,,,
There is no way that you can spend 46cents in the Apple store so how in the world will I be able to change stores???? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport client from '94 iphone client from'07 ALL MODELS failed, now my iP6 after the upgrade to oS11 is inoperable, contacted support ZERO should we go legal?",,,,,,,,,,,,,,,,,,
@AppleSupport Could you help me? I purchased the iphone 7 smart battery case just over 1 year ago.  It's  fallen apart and needs replaced,,,,,,,,,,,,,,,,,,
@AppleSupport It fixed the shutting on and off. But my camera has been glitchy for a few weeks. Is that a software issue ?,,,,,,,,,,,,,,,,,,
@AppleSupport Hello. Please could you let me know how to escalate an existing support request to a complaint please? Partner has had no iCloud access for over a month due to erroring two factor authentication.,,,,,,,,,,,,,,,,,,
"@AppleSupport Since I updated my iphone 7 is working very badly. I really hate this update!!! Blocks alone,get hot when anybody is using and so much more....What should i do?",,,,,,,,,,,,,,,,,,
"@AppleSupport Prior to iOS 11 when using the Podcasts or Music apps AND connected to power, the screen would not auto-lock. Is there a hidden setting somewhere to get this feature back?",,,,,,,,,,,,,,,,,,
@AppleSupport @115858 I have a iPhone 7 running software 11.2 and it is constantly freezing and crashing apps. Any tips or suggestions?,,,,,,,,,,,,,,,,,,
@AppleSupport When I updated last night why does it say Apple Pay cash is now live?,,,,,,,,,,,,,,,,,,
"@AppleSupport so I got my new iPhone X 2 days ago and I have the crackling and buzzing issue , have you confirmed what the problem is ? Software or hardware ?",,,,,,,,,,,,,,,,,,
"I upgraded to iOS 11.2 because I got hit by @115858's notifications bug (disabling app notifications between crashes was fun), and now my phone won't start, won't hard reset, won't DFU, nothing. It just displays the red battery icon. @AppleSupport I can't be the only one, right?",,,,,,,,,,,,,,,,,,
@AppleSupport Hi there! One of my iTunes movies isn't showing up on my new iPhone X despite it showing up on my MacBook Pro and my old iPhone 6S Plus. Can you help?,,,,,,,,,,,,,,,,,,
@AppleSupport WHY DOES MY WIFI TURN ON WHEN I DONT WANT IT TO!???? WHAT IS THIS NONSENSE!?,,,,,,,,,,,,,,,,,,
@AppleSupport smoke and burning smells coming out of daughter's laptop thru' keyboard). Screen gone black. No unusual activity. Any thoughts? Many thanks.,,,,,,,,,,,,,,,,,,
@AppleSupport cant access my apple account. Is there a known issue causing this? My X just completely died too,,,,,,,,,,,,,,,,,,
@AppleSupport Is the 9.7 iPad Pro no longer available?,,,,,,,,,,,,,,,,,,
@118936 @AppleSupport Why on my ATV4K does the Purchased tab no longer work? Just getting spinning 'wheel'?,,,,,,,,,,,,,,,,,,
@AppleSupport why do I have on my new IPhone 8 Plus such a bad WLAN and Cellular Connection? Full bars 10mbits/ sec. iPad Air 2 same position 90mbits/sec @115858,,,,,,,,,,,,,,,,,,
@AppleSupport iPhone x on 11.2. I can only take calls on speaker phone???,,,,,,,,,,,,,,,,,,
@AppleSupport so is Apple Pay Cash live or not??? I should not have to go to internet forums to find an answer.,,,,,,,,,,,,,,,,,,
@AppleSupport why is Apple Pay Cash not working on iOS 11.2 on the iPhone X?,,,,,,,,,,,,,,,,,,
@AppleSupport Why does iOS 11.2 have such a dramatic negative effect on performance on iPhone 6s? Wife's phone still on 11.1 has much better Geekbench score. Identical phone.,,,,,,,,,,,,,,,,,,
"@AppleSupport serious question, how do I turn my iPhone X off?Asking for a friend",,,,,,,,,,,,,,,,,,
@AppleSupport How do I turn off the bedtime reminder on my iPhone?!,,,,,,,,,,,,,,,,,,
@AppleSupport my friend lost his iPhone today. Any ways to track the location?!?! #HelpNeeded @115858 @115858,,,,,,,,,,,,,,,,,,
@7846 @AppleSupport please can you help? It won't actually close,,,,,,,,,,,,,,,,,,
@AppleSupport What about taking HDR photos?,,,,,,,,,,,,,,,,,,
Where has HDR mode gone on iPhone X @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport When will it be available apple pay cash in Spain?. Thanks@115858,,,,,,,,,,,,,,,,,,
"@AppleSupport Left iOS beta program, deleted profile from phone. Still getting beta updates and not 11.0.2  Help please?",,,,,,,,,,,,,,,,,,
@AppleSupport How do I view my Safari passwords in iOS 11 on iPad Pro?,,,,,,,,,,,,,,,,,,
I just updated my iPhone 6S to iOS 11 and it messed up my phone. Reverted it back to as if it were my 5S. @AppleSupport Help?,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, is there a way to make the notification background lighter in the iOS 11 Notification Center? Too low contrast to read.",,,,,,,,,,,,,,,,,,
@AppleSupport who's bright fucking idea was it to make the process for 'forgot password' to enter the password I forgot. Are you stupid???,,,,,,,,,,,,,,,,,,
@AppleSupport Could you help me restore my iPhone5 to factory settings please? You've helped me before but I forgot how to. Thanks!,,,,,,,,,,,,,,,,,,
@AppleSupport phone battery working fine. Download IOS11.0.1 battery goes from 100% to 35% in 30 minutes use. Any fix?,,,,,,,,,,,,,,,,,,
What do I have to do when my Apple Pencil won't charge (through cable and male-female connector)? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport  the aluminum on the back panel of my iPhone 6s is chipping off. Phone is under warranty period. Can I get a replacement?,,,,,,,,,,,,,,,,,,
"@AppleSupport My phone says my Apple ID has been disabled ,How do I fix this?",,,,,,,,,,,,,,,,,,
"@AppleSupport IOS 11 is the best software that came out, but god damn it drains battery. Any suggestions?",,,,,,,,,,,,,,,,,,
@AppleSupport why do you have to add a card to be able to download FREE apps and update them?,,,,,,,,,,,,,,,,,,
@AppleSupport No I have not clicked anything. Is this something I should be worried about in regards to security ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Tried several times, but it still persists ! Can you help ?",,,,,,,,,,,,,,,,,,
"@AppleSupport Thx for getting back to me. Unfortunately, that's not the problem. I've checked and Reduce Motion is not turned on. Any other ideas? :)",,,,,,,,,,,,,,,,,,
@AppleSupport It allowed me to log in on safari. Is it possible to do that with YouTube instead of use the app?,,,,,,,,,,,,,,,,,,
New iPad blues: safari insists on going to the Twitter app instead of to the twitter website. I hate the Twitter app. Any advice please? My old iPad was well trained! @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Hi. Is there any way for me to know about the battery health of my iPhone 6s plus? Thank you in advance!,,,,,,,,,,,,,,,,,,
"@AppleSupport Oh for crying out loud, now to pretend to care?",,,,,,,,,,,,,,,,,,
"@AppleSupport why, when I press the pause button on my apple earphones, does my iPhone 7 start playing from Apple Music instead of pausing the podcast I am listening to?",,,,,,,,,,,,,,,,,,
Hey @AppleSupport ? Why tf do I keep having to go into my task manager to finally get iTunes to shut down after the last 2 updates? Exiting out does nothing but restart the stupid thing REPEATEDLY! This is ridiculous!,,,,,,,,,,,,,,,,,,
.@1313 are you aware of a bug that would cause your app to not retain third party keyboards? Can't get G-Board to stick. Your app continually reverts to Apple stock keyboard. Maybe @AppleSupport knows what's up? iOS 11.1.2 is where I'm at. Issue was not present in iOS 10.3.3.,,,,,,,,,,,,,,,,,,
@AppleSupport  what is the point of buying such expensive phones when within a year the phone starts freezing and switches off on its on ? Very annoying,,,,,,,,,,,,,,,,,,
How do I get tech support from @AppleSupport for my dead @115858 phone when I need the verification code sent to my (dead) phone in order to even contact support or make a Genius Bar reservation? This is a twisted web you've woven.,,,,,,,,,,,,,,,,,,
@AppleSupport hey ? My SS Space Black Apple Watch has micro scratches on the screen? This suppose to happen? I thought it was durable?,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport small problem since the new Update, every time I skip a song of Apple Music the sound decreases any suggestions????",,,,,,,,,,,,,,,,,,
"@AppleSupport we. Are you going to fix the multitude of problems you have caused with your latest o/s update?! Slow / unresponsive apps, finger print recognition not working for some apps now, battery draining in half a day. Version 11.1 has been a disaster.",,,,,,,,,,,,,,,,,,
@AppleSupport when are you going to offer a fix for intermittent iPAD Pro keyboard failure with IOS 11?,,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, any way to remove the ""your disk is almost full"" message that just won't go away please? I have 3GB of free space and I'm fine with that. So irritating.",,,,,,,,,,,,,,,,,,
@AppleSupport The link you sent is US. Any options for Singapore Apple Store?,,,,,,,,,,,,,,,,,,
"@AppleSupport so if your site gives you a date range for delivery, when would you guys know the exact delivery date?",,,,,,,,,,,,,,,,,,
@AppleSupport Thank you. Do they have a twitter handle?,,,,,,,,,,,,,,,,,,
When a transaction is made for parking  at RVP TW's the wrong merchant is displayed #ApplePay @AppleSupport How can this be fixed?,,,,,,,,,,,,,,,,,,
I need to fix my MacBook. Why is it so bloody difficult to get an appointment at your stores @AppleSupport?!,,,,,,,,,,,,,,,,,,
"@AppleSupport Please let me know, are you going to solve my issue?#ApplesupportIsWorst #TimCook #AppleIndia #Apple",,,,,,,,,,,,,,,,,,
@266434 @AppleSupport Hi. Has this been fixed??,,,,,,,,,,,,,,,,,,
@266435 @AppleSupport Has this been fixed?,,,,,,,,,,,,,,,,,,
@AppleSupport What is dm??,,,,,,,,,,,,,,,,,,
"What's happening with #iOS 11.1.2? My #iPhone6 battery seems to be draining faster than it can charge, plus Clock keeps crashing for some reason, and the entire OS just crashed on me too. @115858 @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport why EVERYTIME I download an app do I have to sign into my Apple ID about 15 times over again before it actually starts downloading?!,,,,,,,,,,,,,,,,,,
why is wifi not automatically connecting when i come home? which location service do i need to enable? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport why is system taking up 11gb on my 16gb iPhone 6s?,,,,,,,,,,,,,,,,,,
"@AppleSupport What do u mean by ""DM""us?",,,,,,,,,,,,,,,,,,
@AppleSupport @116333 @120640 @115858 am providing you the Case ID where you can track all the details 100324582115. Please note am not using this new i Phone for past 2 months which I bought just 6 months back.... how many times to get this new device be fixed for same issue.?,,,,,,,,,,,,,,,,,,
@AppleSupport May I know the status for the same.?,,,,,,,,,,,,,,,,,,
"@AppleSupport If a business has definitely had a name change and located at the same address, how long does it take for that to be changed in the Maps App?",,,,,,,,,,,,,,,,,,
@AppleSupport why does the new update drain the battery so quick?!?,,,,,,,,,,,,,,,,,,
"@AppleSupport purchasing iphone 7plus makes me regret like anything! Its just a month and there is hardware issue,also a spare iphone 6 is provided!eta is 14 days?? Disappointed like anything!job number - 111363",,,,,,,,,,,,,,,,,,
"I can't seem to send a message to a phone number after the latest ios update, @AppleSupport? As I insert the phone number, the digits just disappear?!",,,,,,,,,,,,,,,,,,
"@AppleSupport Hey Apple, can you check my battery health on my iPhone 7 Plus? It seems to be losing charge quickly, lately..",,,,,,,,,,,,,,,,,,
"Since upgrading to #HighSierra, my Apple Mail no longer opens hyperlinks in the browser tab when I click them. They only open the browser Home page. Is this a known issue, please? @AppleSupport #help",,,,,,,,,,,,,,,,,,
I have issues with my apple iPhone and guess what? They cannot fix my issues. @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport @266993 Hi Apple why have you still not fixed my battery issue?,,,,,,,,,,,,,,,,,,
@AppleSupport do you sell docking stations for Apple laptops at all on the Apple store?,,,,,,,,,,,,,,,,,,
@AppleSupport Am I the only one with mail app bugs since the last iOS update?,,,,,,,,,,,,,,,,,,
"@AppleSupport nothing fixed yet with 11.1.2, back button on apps, alarm, ringing volume and deleting photos all still a mess. When will this get fixed?",,,,,,,,,,,,,,,,,,
@AppleSupport @115858 when will #AppleWatchSeries3 cellular be available in AUT? thx for some information,,,,,,,,,,,,,,,,,,
My mac has just decided to break and all the things for summit is on there and I am FREAKING OUT RN  @AppleSupport why has the new software update messed up my laptop?,,,,,,,,,,,,,,,,,,
@AppleSupport I had looked at that ! Before Tweeting to you'll ! But it's not mentioned there so can you please confirm it ?,,,,,,,,,,,,,,,,,,
@AppleSupport Does MacBook Air 2015 support Dual-Band Wi-Fi and if so where can I conform it?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport can someone please tell me why my screen just turned purple and then my phone shut down? it won't turn back on. i haven't even had this phone for 2 years #wtf,,,,,,,,,,,,,,,,,,
"@AppleSupport Since I've updated to High Sierra, I've a problem converting my videos with Quick Time, the output format does not respect the ratios and the video is not good... Do you know this issue ?",,,,,,,,,,,,,,,,,,
@AppleSupport Thank you.. any news regarding the new update that will solve the whole problem?,,,,,,,,,,,,,,,,,,
@AppleSupport again i restored my iPhone through iTunes and now its downloading my backup from iCloud (( taking very very very long time )) but really i would like to know when will the new update that will fix that problem once and for all will be released ??,,,,,,,,,,,,,,,,,,
This is the second time this month i restore my iPhone7 to its factory settings because of your software problem. A big company like yours should not face such problem for so long. When is that problem going to be fixed???? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Can I use a gift card I bought at the store to purchase apple music?,,,,,,,,,,,,,,,,,,
@AppleSupport why does my iPhone keep beeping when I play music??,,,,,,,,,,,,,,,,,,
@AppleSupport Bluetooth automatically turns on when I restart my phone. Is this a bug or a new feature?,,,,,,,,,,,,,,,,,,
@AppleSupport I wonder what's the benefit from the last update? It crashes down the phone!!,,,,,,,,,,,,,,,,,,
@AppleSupport can you wireless charge the battery of the iPhone 8 if you have a bookcase around the iPhone 8???,,,,,,,,,,,,,,,,,,
Why imessage keep kicking me out this groupchat without a notification after I updated my phone guys what's going on here.? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport I need hepl with my macbook pro 13 inch 2015 can I dm?,,,,,,,,,,,,,,,,,,
