TYPE,TEXT
APPS,@204475 @AppleSupport Have you updated your apps after doing the upgrade?
NETWORK,"@AppleSupport updated to 11.0.2 on WiFi. Wont connect to same WiFi after update. Tried restart, reentered passwords etc. Suggestions?"
NETWORK,@AppleSupport My WiFi and Bluetooth always turn on automatically why?
IOS,@AppleSupport what did you guys do to the camera of my iPhone 7 Plus? The new software update has simply degraded the quality of my pictures
HARDWARE,@AppleSupport ...11 update ruined a load of phone batteries? There is nothing to change my mind about. You dm me what details you need and sort it out!!!
IOS,@AppleSupport why is it every time I update my phone it stops working properly?
IOS,"@AppleSupport None of these issues experienced on the same handset with iOS11. Nor my iPhone 6, iPhone 5, iPhone 4 or iPhone 3GS. Also my 2012 MacBook Pro Retina has visible damage to the anti glare screen despite great care. Is this a warranty issue?"
HARDWARE,@AppleSupport when can we expect a fix for the battery life you wrecked on anything other than new phones? I see a strategy here! Shameful
COMPLAIN,@AppleSupport why on the iPad Pro does VoiceOver not give you the instructions on how to multi screen? It did on the iPad air too!
ICLOUD,@AppleSupport Currently on a 2TB iCloud account and having issues syncing between 2 macs. Any way to not downloading all my data on both?
COMPLAIN,"@AppleSupport Are we gonna get the option of Mobile Hotspot in next update of ios, or should we downgrade to Android?"
COMPLAIN,@AppleSupport I strongly miss the clearing of notifications from locked screen in iOS11. Any procedure to do this?
HARDWARE,@AppleSupport iPhone 7 Plus has lost about 20% of battery in less than 2 hours -  this seems a lot? Airpods and Watch connected but still?:(
IOS,"@AppleSupport My husbands phone has updated itself when he said not to and now he has lost all his business contacts, any ideas what's up?"
COMPLAIN,"Dear #appleTV, why are there so few channels available and why does ITV not screen mirror? @AppleSupport"
HARDWARE,@AppleSupport I want to check the overall battery health of my iPhone? How can I?
COMPLAIN,What's up w/ WhatsApp notifications in iOS11? And why does web WhatsApp only work if app is physically open on phone screen? @AppleSupport
NETWORK,@AppleSupport is there a way to keep your phone from automatically connecting to WiFi and changing the brightness by itself on iOS 11??
HARDWARE,It's hard to destroy the #thundercats when my #iphone6 keeps running out of battery. @AppleSupport any tips?
ICLOUD,"@AppleSupport So if someone steals my laptop and knows my password, they get full access to my iCloud account?"
NETWORK,"@AppleSupport the internet, but how can I connect it when I can't do anything on my phone without restoring first???"
ICLOUD,@AppleSupport Since upgrading to iOS 11 on my 5S my photos won't download from iCloud even though phone has 12GB storage available. Why not?
HARDWARE,Whats up with the battery drain on my ipad @applesupport ? Software upgrade and 20% drain after 20 minutes.
IOS,@AppleSupport how come every time I take a screenshot there is no picture but all white ??
ICLOUD,"@AppleSupport Hey Apple, how can I create folders in the iCloud-Drive-Storage in the File-Manager app in iOS 11? Thanks"
HARDWARE,@AppleSupport iOS 11 has destroyed my battery life. Will there be any fix soon?
PURCHASE,@AppleSupport Are you going to buy back my phone so I can get a #Pixel2?
HARDWARE,"@AppleSupport @115858 By anyway, can I go back to iOs 10 stable version ?  iOs 11 is eating battery like hell in my iPhone 6."
APPS,@AppleSupport trying to stream Netflix on my iPhone 7plus and it kicks kicking me out to the home screen is it apple or Netflix app?
APPS,@AppleSupport are FaceTime will be able for all user who buy iPhone without FaceTime??
COMPLAIN,My #AppleWatch 1st gen lasted two years. #Series 3? #ForceTouch dead after six days. #Bummer @AppleSupport
HARDWARE,@AppleSupport the new update is draining my battery!!! What is going on??
HARDWARE,@AppleSupport I just got my iPhone 7 and then you guys come out with the 8 and my battery all the sudden is messed up? #HookItUp
ICLOUD,@AppleSupport I received a weird email about my Apple ID being disabled.  Where can I send the screenshot of email?  Thank you in advance
HARDWARE,"@AppleSupport @210991 Since updating to iOS 11, my iPhone (6) battery has be draining faster. Is this a issue with your end?  never happened before..."
NETWORK,@AppleSupport normal de devoir rebooter iPad Air2 ts les jours pour avoir le Wifi depuis #iOS11 ? Vite un downgrade ou un VRAI patch !
HARDWARE,"@AppleSupport The battery issue is so frustrating, suddenly drained from 39% to 4%! What the hell is wrong with 11.0.2?!"
HARDWARE,"@AppleSupport What's going on with the new update (11.0.2), battery is draining really fast? Any new updates coming soon? #iOS #BatteryDrain"
ICLOUD,Dear @AppleSupport where have all my #iCloud emails gone?
COMPLAIN,"@AppleSupport After the recent update, I can no longer get to my main screen through my running armband. :( Can you fix that please?"
HARDWARE,@AppleSupport I have done the latest update on my iPhone 6 and now having major battery drain and overall slow ue. Any advice?
HUMAN,@AppleSupport what if there was no mainscreen passcode?
ICLOUD,"hey @AppleSupport, so my screen doesn't turn on, so I can't put in my passcode to unlock my phone and back it up onto my computer. what now?"
ICLOUD,"@AppleSupport I was able to unlock, change my password, log out of all other icloud sessions somehow. what would have caused the issue I was having?"
HARDWARE,"Hi why does my iphones brightness just randomly lower?? Auto is off, it's all the way up and my battery is 90% ????? @AppleSupport"
NETWORK,@AppleSupport I turn my WiFi off and after a while I check back and my iPhone has the WiFi turned on again. Is this a glitch in ur update?
HARDWARE,My iPhone 7 is 11 months old today. After iOS 11.0.2 the battery lasts 3 hours? @AppleSupport @116333 what do I do now?
HARDWARE,iOS 11 is a complete disaster. Any plan to make it better? Specially for battery life? @115858 @AppleSupport
APPS,"@AppleSupport Sometimes,on the lock screen,when I clear an individual notification,every notification in that group gets cleared off.Why?"
APPS,"@AppleSupport Why Notes Disabled in iPhone ?When you enter notes, a black screen appears and then returns to the main screen"
IOS,"@AppleSupport Hi I'm using ios 11.0.2 on iPhone 6,keyboard doesn't fill screen when device rotated on landscape?Please solve this..."
ICLOUD,"Question: Can i connect an iCloud Drive to #AppleTV and store movies there, and will they play on AppleTV?@AppleSupport @115858 @15443"
HARDWARE,@AppleSupport Basic guys! Basic! iOS 11.0.2 is draining the battery even while charging. Why? Battery life is the most important thing.
HARDWARE,Ever since the second to last iOS update my phones battery life is shit @115858   @AppleSupport wtf?
HARDWARE,Hey @AppleSupport why the hell has my phone been getting extremely hot and the battery life dies so quick ?!?!
HARDWARE,"@AppleSupport My question was actually, if the Built-in rechargeable lithium-ion battery is technically equal in Generation 1 and Series 3 or different?"
APPS,"@AppleSupport If I'm in a fullscreen app and click a Mail notification, Mail goes fullscreen and splits the fullscreen app. Can I stop this?"
IOS,"@115858 @AppleSupport The latest OS update has killed my #iphone7. What did you do! Slow, crashes, freezes. Do you want me to buy the 8?"
APPS,@AppleSupport my work uses an app with nfc to access our building. When I use it Apple Pay comes on the screen. How can this be stopped?
HARDWARE,@115858 @AppleSupport any way to check the overall battery health of my iPhone SE?
HARDWARE,@AppleSupport Can you approve me for a diagnostics test on my battery? Just got it in July and it dies in about 3 hours
HARDWARE,@AppleSupport the battery life has been absolutely awful since I have updated my 7 plus to iOS 11 (currently on ios11.0.2) what to do?
HARDWARE,@AppleSupport iOS 11.x is really bad SLOooooooow and drrrrraaaaiiiins battery. I wish I did not upgrade to 11. Can I go back? Not buying 8
HARDWARE,@115858 @AppleSupport my battery life since updating to iOS 11 has been absolutely awful. Can you please fix this?
ICLOUD,"@AppleSupport someone just called saying not to use my iMac until I called iCloud support. Uh, what?"
ICLOUD,@AppleSupport I have a family plan but my sister and I separately pay for iCloud storage. How do I cancel them and share a 2TB plan?
NETWORK,@115858 @AppleSupport why does my WiFi keep turning itself on ever since I downloaded the new iOS?
NETWORK,"@AppleSupport Thank you, but my question is not regarding control center. The point is that WIFI signal keeps turning on even if I switch it of. Advices ?"
HARDWARE,@AppleSupport why does my iPhone switch off when I walk outside? The battery is full!?!? Do I need to bay it a warm coat?!?!
PURCHASE,@AppleSupport @115858  I'm a British citizen currently in India. My iphone was lost/stolen and I want to buy a replacement. Will the one year warranty work back in the U.K. The same as it would if I purchased it in London?
HARDWARE,@AppleSupport anyway to check my battery health?
COMPLAIN,I don't even know what to do right now like wtf.... how could all my pictures be deleted like that?! Wtf @115858 @AppleSupport why the fuck would y'all delete my shit?!!!!!!!!!
HARDWARE,"@AppleSupport After the update of 11/25 my device got stuck on the apple screen and will not come back, I called the support and together we tried to restore the iPhone that did not come back so now they are telling me that I have to pay R$1600.00 to change the device being a software problem?"
ICLOUD,@AppleSupport just got the iPhone 8plus. Restored my phone from a backup and got everything except my photos. I had 4 thousand plus photos and I had iCloud photo sharing on. How can I recover? They show up on my iPad however not my iPhone 8
HARDWARE,Well I can see my iPhone 7 battery dying as it attempts to connect to @115714. @AppleSupport pretty sure Sprint gave me a defective phone. But looks like their insurance is useless. What are my options?
IOS,"@AppleSupport this new iOS update 11.1.2 is just bad. Is there anyway I can go down to 11.1? This whole rotating my screen (while on screen lock), crashing and freezing is not working for me."
HARDWARE,@AppleSupport @221538 How about posting answers out in the open so we can ALL benefit from. Why do it behind closed doors in DM? Every few minutes theres a new tweet about iOS draining battery. #iphone #iOS #apple
NETWORK,@AppleSupport Thank you USB bit and Wifi both likely slow for full HD?
HARDWARE,@AppleSupport sooooooo I got a Belkin glass screen protector put on my iPhone X this last Sunday and it already has a mystery crack the whole length of the phone. Do they have a warranty of some kind?
HARDWARE,"@AppleSupport Bought an iphone 7 plus two days ago, and both days, with moderate usage, battery goes from 100% in the morning to 20% by noon. No way this is normal. Screen brightness is halfway and no apps running on background. Help?"
HARDWARE,@AppleSupport hey could you please check my iPhone 7? The battery drainage is pretty quick in the recent days not sure why.Thank you.
ICLOUD,@AppleSupport my new iPhone X has been doing iCloud update settings for more than an hour. Is this something that is normal??
HARDWARE,"Update: didn't use a charger today, still happened, perhaps slightly less often. I hold it carefully so my hands don't touch the screen edges, I don't have a case, locking/unlocking sometimes seems to help but mostly does nothing. No discernable pattern still.  @AppleSupport? :("
HARDWARE,Hey @AppleSupport and #iPhone what is up with the battery life of older phones after updating? #iwantmybatterylifeback
ICLOUD,@AppleSupport how long must I wait for iCloud to stop telling me that the birthday is invalid? Just because I hit the wrong year? That is very annoying when signing up for an iCloud account
COMPLAIN,@AppleSupport @120640 @116333 @21503 so i contacted virgin for this issue and  they refused to give me the purchase order bill cuz they did not buy it directly from Apple! So why you set virgin as one of your authentic sellers if they are not carrying ur authentic products?!!!!
HARDWARE,Do you hate #iOS11 as much as I do? Shorter battery life and slower phone than ever. Plus for the first time ever it freezes. @AppleSupport get your act together. Already flirting with Samsung due to iOS 11... #ios11sucks
HARDWARE,"@AppleSupport Question: How long SHOULD the new iPad Pro 10.5in battery last? It's on the latest iOS, literally bought it last week and feel like its got the same battery life as my old iPad 2."
HARDWARE,"@AppleSupport one sudden day my iPhone 6 screen got black and when I visited apple service center, I was just told 'You have lost all mobile data n mobile needs to be replaced against certain amount'Is this fair to loose 2 year long memory in one moment?"
IOS,"@AppleSupport Since the iOS 11.1.2 update my screen has been unresponsive, unless I heat my phone up near a radiator, what do I do?"
HARDWARE,"@AppleSupport @21971 @11676 I've 3month old iphone6 suddenly its stopped working I went to apple service centre they said its dead and its liquid damage which even can be sweat, its not covered in warranty.Why do I iphone if it cant protect from sweat?#Shame"
APPS,"@AppleSupport my phone keeps deleting everything, I have lost 2 years of texts and pictures, what can I do about this?"
HARDWARE,@AppleSupport can you help me? My #AirPods battery level does not show on my #AppleWatchSeries3 with wos 4.1
HARDWARE,Charge my apple watch and phone this morning to full power. It is now 2pm and my watch has 92% battery but my phone cuts out at 62% - @AppleSupport please advise? thanks
COMPLAIN,"@AppleSupport  @115858  Yo so i use two iphone 4s and a couple days ago at the same time both of them just stopped being capable of charging while on. I've never had a problem with either phone, so what the fuck did y'all do? #PlannedObsolescence ???"
HARDWARE,"Hmm, Seem to have lost the Hashtag function on my new MacBookPro used to be Option key + 3 - but no more? @AppleSupport"
NETWORK,@AppleSupport If I have wifi enabled on my iMac running latest MacOS it keeps waking my USB hard drives during sleep every 30-60 sec or so. Disabling wifi and only keep wired connection fixes it. Seem like a bug and not a feature :) Fix?
HARDWARE,@AppleSupport When will ios11.2 be released and will it fix the battery issues? My battery is nuts since the update. My 6s depletes suddenly by 80% at random times and is now wholly unreliable.
IOS,"Updated to iOS 11.1.2. Every 5 mins phone vibrates, black screen, loading wheel and then asks for password. No Apple store in Melbourne (?) plz halp @AppleSupport"
NETWORK,"Twice today my iPhone 7 auto joined a network I specify have configured not to auto join. Ideas, @AppleSupport ?"
HARDWARE,@AppleSupport why has the ios 11.03 update reduced my battery life by 50% ???  Only had this phone 3 weeks! #iphoneX #Shocking #NeedItSorting
COMPLAIN,@AppleSupport you guys are the worst.   Switching back to Samsung.  How the fuck does this brand new phone you guys replaced my broken one with just not work??
ICLOUD,"@AppleSupport I clean installed MacOS Hig Sierra on my MacBook Air, and now I do not get iCloud verification code even if I entered the correct mobile number.What should I do now?"
HARDWARE,"@AppleSupport Have there been many issues with the 8+ freezing, waking up to screen not working, apps crashing, and video/photo editing? Mine definitely has. I upgrade to the 8+ the day it was released (from a 5c). It was an awesome upgrade. However, these issues are not so great"
ICLOUD,@AppleSupport And now my original issue seems to have sorted itself out. icloud is now loading the two-factor auth screen in Chrome....the original one that is running those extensions. Temporary icloud server glitch?? No idea!
APPS,"@AppleSupport Hi, all apps on my iPhone crashed, then the phone turned black and back to lock screen, and it kept on going that way. What happened?"
APPS,@AppleSupport My iPhone6 keeps exiting all apps I open. Shows black screen with spinning wheel. Can't do anything with it. What's happening? It has the latest iOS installed and all... Help!!
ICLOUD,@AppleSupport hi! I just downgraded from a 200gb family plan for icloud to the 50gb a month instead after one day of using the family plan. am I eligible for a refund?
HARDWARE,"@AppleSupport Painfully slow. Everything takes 10-30 seconds to accomplish (whereas before it was 2-3; seamless). Examples: swiping to open camera from lock screen? 20 seconds before camera is ready. Opening Gmail? 15 seconds for it to load? Doesn't sound like a lot, but drastically slower."
IOS,"@AppleSupport My iPhone randomly opens this black screen ,with a circle and then goes back to the lockscreen,what should i do?"
COMPLAIN,@AppleSupport is there a way to make my phone unlock straight to the home screen without swiping up on iPhone X?
HARDWARE,2012 @115858 MacBook Pro is dying. Battery does not charge and has to be plugged in at all times. *Service Battery* issue. All signs point to faulty tech. What will @AppleSupport do in this situation?
COMPLAIN,@AppleSupport Just a grey screen with no indication of error? WTF
APPS,@AppleSupport but this isnt just one app though? i tried force restart and even updating the ios because i thought its os problem but even after i updated it wouldnt stop crashing and showing loading wheel and redirecting to password screen
APPS,"@AppleSupport since couple hours ago every time i open twitter or other apps my phone crashes, it shows black screen and loading wheel for around 8 seconds then ask for password. i saw some people having the same problem, how do i fix this?"
HARDWARE,@AppleSupport why is my iPhone 7 battery so pants recently?
HUMAN,@AppleSupport hello :) I wanted to ask you for an information: I would like to buy an app on the app store but refuse to pay by PayPal despite the money are on the card. literally tells me: transaction refused. can you help me please?
HARDWARE,@AppleSupport How can I check the health of my iPhone 7's battery?
IOS,@AppleSupport My iPhone 7 (11.1.2) is crashing randomly for about 5 seconds. I'll be doing something on my phone and all of a sudden the screen will go blank with the spinner showing and will then go back to the lock screen. Did the update last night kill my phone? #ios1112
HARDWARE,@AppleSupport iPhone X constantly going into black screen with spinning icon and heating up. What can I do?
COMPLAIN,@AppleSupport Seriously when are you going to fix this bullshit with the calculator?
HARDWARE,"@237889 @AppleSupport Reached any conclusion? My iPhone 7 started behaving like that, out of nowhere, draining battery fast"
IOS,@AppleSupport Help pls. My ipadpro 10.5 keep closing and reverting back to lock screen even if i'm not using any app. Is there a solution for this?
HARDWARE,@AppleSupport why is the battery of my iPhone acting up ever since that upgrade?
IOS,@AppleSupport is there a way to lock the home button to the bottom of the vertical home screen so when u tilt your phone horizontal it stays there?
HARDWARE,@AppleSupport any way to check my battery health for my iPhone?
HARDWARE,@AppleSupport  Where can I buy a replacement iPad screen?
NETWORK,"iPhone q. How come when I toggle off WiFi, it just automatically comes back on to continue terrorizing me w password requests? @AppleSupport"
APPS,"@AppleSupport Wondering if this is an iOS 11 bug? Whenever I try to 'view' a notification from the lock screen (and it hasn't been unlocked yet), it doesn't go straight to the app. Same issue with the widgets."
HARDWARE,Hey @AppleSupport what is this black screen+spinning wheel problem that randomly shows up every minute? A lot of people are experiencing the problems. It heats up the device and drains battery too
HARDWARE,@AppleSupport Can you check my iphone 6 battery health?
HARDWARE,"@AppleSupport (I have a 7 plus iOS11 that, literally every minute, shows a black screen with a white spinning wheel for a few seconds and then restarts the phone? !!!!"
IOS,Why the fuck is my clock app now broken @AppleSupport ? I swear every new iOS update breaks yet another simple thing
HARDWARE,@AppleSupport my phone blacks out frequently and comes up with am spinning wheel and the goes to my lock screen.  Help?
HARDWARE,"@AppleSupport iPhone 7 Plus, full up-to-date; mid-way through any task my screen goes black, little white buffer comes up and takes me back to lock screen?!?!?!"
HARDWARE,@AppleSupport my iphone keeps getting a black loading screen and then ended up with me needing to open the phone every 2 minutes.. what is happening?
HARDWARE,"hi @AppleSupport i have set my date in iphone to before december 1st, and my iphone is not restart with blank screen again. When apple support to fix it? I think the problem is IOS 11.1.2"
HARDWARE,"@AppleSupport hi my phone keeps randomly semi turning off (aka the screen goes grey and a little loading bubble comes up followed by my passcode), would you have any idea why??"
HARDWARE,@AppleSupport Hello!How come my iPad drops from 50% battery life to 0% within 1 hour?
HARDWARE,@AppleSupport my phone keeps having a black loading screen every 2 minutes after the new ios update and i've restarted and all.. when will this be resolved?
HARDWARE,@AppleSupport why has my battery life dropped significantly (approx 50%) since latest update - 11.1.2? What can I do to fix it? Thanks
HARDWARE,Dear @AppleSupport I am facing a glitch with my iPhone 5S. I am using iOS 11.1.2 and I was running low on battery. I had around 7% and I was in middle of something important when suddenly my phone turned off! I connected to charger and it switched on immediately. Can you help me?
HARDWARE,@AppleSupport is there a bug with iPhone?? Keep getting a black screen with spinning wheel then asked to enter passcode. Very frustrating as phone constantly crashing!
NETWORK,"@AppleSupport, 7 plus keeps crashing out of apps and returning to lock screen.  Also after restoring from backup, all apps won't dl over wifi or cell.  What gives?  Have removed SIM, still no joy... #nothappy #iosupdate"
HARDWARE,Anyone else getting the black screen of death about every minute? @AppleSupport #iphone #apple
HARDWARE,"@AppleSupport Hi, is there any fix to the issue with black screen and phone constantly restarting? iPhone X, iOS 11.1.2"
HARDWARE,"Using @115858 airpod ! impressed with smooth connectivity , battery and sound quality of it. One issue how to enable automatically answering incoming call ?? @AppleSupport"
HARDWARE,@AppleSupport Hi.  My iPhone 7 keeps reverting to lock screen every minute or so.  Any idea how I can fix? Thanks
ICLOUD,"@AppleSupport Yes, performed clean install with usb stick. Even with this clean install I had this issue. But suddenly this doesn't happen again. Seems that something in the background (iCloud?) didn't work well? Anyway: Thanks for support! Appreciate your work! #apple"
HARDWARE,@AppleSupport Thanks. I noticed my battery was getting low a lot quicker too.  Will the update stop this too?
HARDWARE,"@AppleSupport Hi, my iPhone 7 keeps going to a buffering black screen and then takes me to enter my password again. But it's doing it every 20s! What should I do? Thanks."
HARDWARE,@AppleSupport My SE phone goes to the black screen with spinning wheel and asks for touch id or passcode once in a while when using the phone. How do i fix it?
HARDWARE,@AppleSupport @115858  my ios 11.1.2 is force restarting to home screen every 1 minute! How to fix? Pls
HARDWARE,@AppleSupport I just want to be able to get back to a normal working screen.  Any suggestions?
HARDWARE,@AppleSupport what is happening to my phone? Keeps crashing and draining my battery! Help
HARDWARE,"@AppleSupport Hi, my parents Mac mini keeps getting a large pop up on screen saying they have 32 viruses 3 critical. Told them to delete recycle bin etc but keeps getting this message. Is this adware? How do I remove this for them?"
HARDWARE,"@AppleSupport iPhone is driving me mad this morning, keeps going to black screen with spinning wheel and asking for passcode every few seconds. I see lots of people having same issue, is there a fix?"
HARDWARE,@AppleSupport i think my battery is not giving enough backup. What can i do?
HARDWARE,"@AppleSupport My iPhone keeps crashing where a black screen with a spinning circle keeps showing every 30 seconds! I restarted it, updated the software. Nth worked! What shall I do??"
HARDWARE,@AppleSupport can you assist me with finding out the health of my IPhone 6 battery? Thanks
ICLOUD,"@AppleSupport any way to not see my name whenever i open settings? like i know my own name lmao but now i cant open settings in public, i dont want ppl seeing my full name. i have to log in and out of itunes like 7 times a day now bc of this pls help"
HARDWARE,"@AppleSupport I'm thinking of  purchasing one of your refurbished iPod touch's. I'm looking at one on your UK site and was wondering what gets refurbished in these models. Is the screen replaced, the shell, the battery?"
PURCHASE,@AppleSupport Can i buy unlocked iphone X from apple American store and deliver it to saudi arabia? (Middle east)
HARDWARE,"@238230 @AppleSupport I face the similar issue. its not really restarting, but goes into lock screen after every minute. did you manage to find a solution?"
IOS,@AppleSupport since the latest update phone started to restart automatically! First the logo issue now this? Where are you going with this #AppleSupport  #datalose #losttrust
HARDWARE,"@AppleSupport hi, I wish to know the battery stand by time of iPhone 6s in iOS 11.2 and screen on time ?"
PURCHASE,@AppleSupport hi i am in the Uk can we add paypal to make purchases?  To buy things from in apps ?
NETWORK,@AppleSupport Internet speed? Did you look at the second picture?
HARDWARE,@AppleSupport just updated my phone to the new software now I cant even use my phone without the battery dying. Are you just trying to scam people so they have to buy a new phone? Im so angry. I cant even listen to music without it dying after 20 mins.
NETWORK,@AppleSupport Why do I get intermittent wifi on my iPhone X? It drops the wifi connection for a few minutes and then reconnects again after a few minutes. Please FIX. I read that many users experience this also. Please FIX.
COMPLAIN,"@AppleSupport Every new screen even before I unlock my phone I get the white screen that says sign in required w email address, place to type password and cancel or continue options. How do I make this ANNOYANCE STOP? Happened before update to iOS11.2 and worse after this update."
ICLOUD,@AppleSupport It looks like photos are disappearing from my Apple Photos / iCloud account - what should I do?!
IOS,@AppleSupport will 11.2 fix black screen issue?
HARDWARE,"@AppleSupport I'm having some problems with my IPhone 7, it keeps restarting and showing a black screen with a spinning icon. How do I fix this?"
HARDWARE,"@AppleSupport we have an iPhone  6s and iPhone 7 that are turning off as though no battery then turning back on after a few minutes, help?"
HARDWARE,@AppleSupport hey I have an iPhone 7 running 11.1.2 and it keeps going to the lock screen. Can you help?
HUMAN,Hey @115858 and @AppleSupport -- my phone was affected by this random restart bug yesterday and the Genius had me buy a new phone yesterday! Who do I talk to about a refund?
APPS,WTF! I think i just lost all my photos on my iPhone.... what the hell?! @AppleSupport
HARDWARE,on an iMac @AppleSupport when i move the mouse to the upper right of the screen why does everything disappear???
PURCHASE,@AppleSupport @AppleSupport I buy a phone for almost 800 dollars to last a year? I want a resolution of my case. Nobody spends so much on a phone to last that time. Error 9.
ICLOUD,@AppleSupport is there nay way to recover photos that were not back up on icloud?
HARDWARE,@AppleSupport why does my iPad keep going to the lock screen and closing my app down whenever I go on something?
HARDWARE,My iPhoneX won't let any application open for more than 20 seconds. the screen keeps lighting on and off and heat up on the bottom of the camera. Any ideas why is this happening?I can't even contact apple since my iPhoneX won't let me.@115858 @156470 @140312 @AppleSupport
ICLOUD,@AppleSupport It would be great if I could download the app. Bloody iTunes store will not download any apps. I can find no useful information about this problem except that a lot of users are having similar issues with icloud/app store/itunes store. Can you offer anything useful?
ICLOUD,@AppleSupport That means I will have to provide again the password for my icloud which am having trouble to remember or it wont ask for it?
HUMAN,"@AppleSupport Hi, I used the link. Sent a screenshot. Still not seen a reply. Have you seen the DM yet?"
HARDWARE,@AppleSupport Why did the last update make my battery drain so fast now? Also takes forever to charge. No problems whatsoever before the last update.
IOS,@AppleSupport I'm downloading 11.2 - is that going to fix my touchscreen that is completely unreliable - ie not working 90% of the time - since the last update?
HARDWARE,@AppleSupport my Macbook is unresponsive and it is incredibly urgent to have this fixed. I have a deadline on Tuesday. When is the next available appointment with an apple genius?
APPS,@AppleSupport why am i getting a green screen on my macbook when i watch netflix ? Please help
HARDWARE,@AppleSupport my ipad mini keeps on showing black screen every 1 minute. What's happening apple?
HUMAN,@AppleSupport who do i talk to about an itunes bill im not happy with? Either you have over charged me or some tosser is using my card to buy things!
HUMAN,@AppleSupport I sent you several DMs did you not receive them ? I can screenshot them for you
ICLOUD,"Hello !, @AppleSupport I have an iPhone 6S, and I want to delete the iCloud photos that I have 5GB and I do not have more space. How can I delete the 635 photos?"
PURCHASE,@AppleSupport @115858 can u help me if all sellers listed under your online retail channel @118702 India are authorized to buy iPhone 8 Plus from?? Wanna buy one and need to confirm on this. Help pls..
NETWORK,"Hey @AppleSupport, the WiFi on my iPhoneX keeps turning on by itself throughout the day and draining my battery. Is there a solution?"
IOS,"@AppleSupport iOS 11.2 has changed my home screen text to black, which is unreadable against the background image I've used for the past 6 years. How do I revert this?"
COMPLAIN,@AppleSupport @115858 my question- is it fair to pay rs 35000 just because of expiry of warranty by just 2 months..is it not exploitation ? Is brand apple dead now?..is there no guarantee of working..?? Why we pay so much if it does not work properly for 2 months post warranty 2/n
COMPLAIN,@AppleSupport My point was your bug led me to go out and buy a new phone unnecessarily. And by the way. The bug affected the new phone too after restoring a backup!!! How about a refund?
HUMAN,@AppleSupport We figured it out. Guess it worked only with the locked screen? Also has to be pressed to see the movement?
ICLOUD,"@AppleSupport Also, could this be an iCloud problem in addition to the older software? Because I cannot logout/login the iCloud section in System Preferences. And every time I try to sign out of my account through App Store, the thing freezes and shuts and a system error report is generated."
HUMAN,How do you screen shot on the iPhone X? @AppleSupport
NETWORK,@AppleSupport my iPhone has logged me out of everything and apparently all my passwords are wrong? Even my at home wifi is apparently wrong? Done all the restart reset crap
NETWORK,"@115858 @AppleSupport Guys, There is a bug in IOS version 11.1.2.When you turn off your Wifi from the control center, it does not turn off it from settings Wi-Fi.But the other way works fine.Is it reported?"
HARDWARE,Is there any way to check the overall battery health of my iphone 6s+? @AppleSupport
HARDWARE,@AppleSupport Hi Apple! I want to know about my iPhone's battery condition (iPhone 6s 64gb). Suddenly drops occur often. Can you help me?
IOS,"@AppleSupport hey guys, is anyone aware of the bug on iOS 11.x when lockscreen displays nothing but background? Has been there since 11.0, still there with 11.2. I'm on iPhone 7+"
APPS,@AppleSupport When I make a screen recording on my iPhone there is no sound in the recording. Is this meant to be? Or is there a setting to turn it on?
HARDWARE,"@AppleSupport, my iPhone 6s started to drain the battery in a very unusual way. Every 20 second on screen is 1 or 2 percent of my battery! It seems to be fine on standby. Is there anything I can do to figure out the reason?"
COMPLAIN,@AppleSupport did you remove the option to edit the screenshot iOS 11.2? Screenshot was appearing on the corner below before saving on 11.1.2 ?!!
ICLOUD,"I deleted my icloud notes by mistake by signing out, procrastinating a back-up, any idea how I could retrieve my iCloud notes? @AppleSupport"
HARDWARE,"@AppleSupport wtf? I created a repair order (A273997423) to get my iPhone battery replaced, but Apple received the product, deemed it ""couldn't duplicate issue"", and shipped it back to me. You should have replaced battery, or contacted me to find out what the issue was."
ICLOUD,@AppleSupport Hi. I've disabled iCloud because I never wanted it in the first place. Now I have 30 days to download all my photos but I can't seem to do it. Went on your support website but the indications aren't working for me. Help??
HARDWARE,@AppleSupport can you help me check my battery health on my iPhone 6S plus?
HARDWARE,"@AppleSupport No. I read through the release notes for 11.2 and saw nothing about fixing battery life. Did I miss something? If 11.2 is even worse, I know I can't go back."
HARDWARE,@AppleSupport Is this actually addressed?  You are the expert. It is your software. Does 11.2 fix battery problems?
HARDWARE,@AppleSupport I think my iPhone battery have some issues...can we check it somehow?
HARDWARE,@AppleSupport how  Can I  check my battery status?
IOS,"@AppleSupport I can not record the screen with the audio system, and the microphone is active, my voice records are fine. I use Ios 11.1.2, Installation 11.2 could solve?"
NETWORK,@AppleSupport when will you fix the bug for the automatic activation of the wifi!? Really fed up with that. Fix it. Thanks
APPS,@AppleSupport how do I reopen the now playing screen on the watch once I close it?
HARDWARE,@AppleSupport Could you help me? I purchased the iphone 7 smart battery case just over 1 year ago.  It's  fallen apart and needs replaced
ICLOUD,@AppleSupport Hello. Please could you let me know how to escalate an existing support request to a complaint please? Partner has had no iCloud access for over a month due to erroring two factor authentication.
IOS,"@AppleSupport Prior to iOS 11 when using the Podcasts or Music apps AND connected to power, the screen would not auto-lock. Is there a hidden setting somewhere to get this feature back?"
HARDWARE,"@AppleSupport so I got my new iPhone X 2 days ago and I have the crackling and buzzing issue , have you confirmed what the problem is ? Software or hardware ?"
